Organism,Compound Name,Chemical Formula,Mol. Wt.,SMILES,Common-Name,Object ID
GCF_009937745,CPD-734,C12H17O3,209.264,CC\C=C/C[C@H]1(C(=O)CC[C@@H]1CC([O-])=O),(-)-jasmonate,CPD-734
MED4,CPD-734,C12H17O3,209.264,CC\C=C/C[C@H]1(C(=O)CC[C@@H]1CC([O-])=O),(-)-jasmonate,CPD-734
PPUT160488,CPD-734,C12H17O3,209.264,CC\C=C/C[C@H]1(C(=O)CC[C@@H]1CC([O-])=O),(-)-jasmonate,CPD-734
GCF_009937745,CPD1F-2,C13H20O3,224.299,CC\C=C/C[C@H]1(C(=O)CC[C@@H]1CC(OC)=O),(-)-methyl jasmonate,CPD1F-2
MED4,CPD1F-2,C13H20O3,224.299,CC\C=C/C[C@H]1(C(=O)CC[C@@H]1CC(OC)=O),(-)-methyl jasmonate,CPD1F-2
PPUT160488,CPD1F-2,C13H20O3,224.299,CC\C=C/C[C@H]1(C(=O)CC[C@@H]1CC(OC)=O),(-)-methyl jasmonate,CPD1F-2
ECOLI,CPD0-1294,C10H14N2O2S1,226.293,CC1(\N=N/1)CCSC3(C(O)C2(OC2\C=C/3)),"(1/2,5,6)-2-(3-azibutylthio)-5,6-epoxy-3-cyclohexen-1-ol",CPD0-1294
ECOLI,CPD0-2064,C18H31O4,311.44,CCCCC\C=C/[C@H](OO)\C=C/CCCCCCCC([O-])=O,(11<i>S</i>)-HPODE,CPD0-2064
GCF_009937745,CPD-9917,C15H29O2,241.393,CC[C@H](C)CCCCCCCCCCC(=O)[O-],(12<i>S</i>)-12-methyltetradecanoate,CPD-9917
GCF_000014565,CPD-13094,C18H31O4,311.44,CC\C=C/C\C=C/CC(O)C(O)CCCCCCCC(=O)[O-],"(12Z,15Z)-9,10-dihydroxyoctadeca-12,15-dienoate",CPD-13094
YARROWIA,CPD-13094,C18H31O4,311.44,CC\C=C/C\C=C/CC(O)C(O)CCCCCCCC(=O)[O-],"(12Z,15Z)-9,10-dihydroxyoctadeca-12,15-dienoate",CPD-13094
GCF_000014565,CPD-13089,C18H29O3,293.425,CC\C=C/C\C=C/CC1(OC1CCCCCCCC(=O)[O-]),"(12Z,15Z)-9,10-epoxyoctadeca-12,15-dienoate",CPD-13089
MTBH37RV,CPD-13089,C18H29O3,293.425,CC\C=C/C\C=C/CC1(OC1CCCCCCCC(=O)[O-]),"(12Z,15Z)-9,10-epoxyoctadeca-12,15-dienoate",CPD-13089
YARROWIA,CPD-13089,C18H29O3,293.425,CC\C=C/C\C=C/CC1(OC1CCCCCCCC(=O)[O-]),"(12Z,15Z)-9,10-epoxyoctadeca-12,15-dienoate",CPD-13089
YEAST,CPD-13089,C18H29O3,293.425,CC\C=C/C\C=C/CC1(OC1CCCCCCCC(=O)[O-]),"(12Z,15Z)-9,10-epoxyoctadeca-12,15-dienoate",CPD-13089
MTBH37RV,CPD-15047,C20H34O1,290.488,C=C[C@@](O)(C)CC[C@]1(C)([C@@H](C)C/C=C2([C@H]1CCCC(C)(C)2)),(13<i>R</i>)-isotuberculosinol,CPD-15047
MTBH37RV,CPD-13850,C20H34O1,290.488,C=C[C@](O)(C)CC[C@]1(C)([C@@H](C)C/C=C2([C@H]1CCCC(C)(C)2)),(13<i>S</i>)-isotuberculosinol,CPD-13850
GCF_009937745,CPD-23509,C17H33O2,269.446,CC[C@H](C)CCCCCCCCCCCCC([O-])=O,(14<i>S</i>)-14-methylhexadecanoate,CPD-23509
PPUT160488,CPD-14268,C24H45O2,365.618,CCCCCCCC\C=C/CCCCCCCCCCCCCC(=O)[O-],(15<i>Z</i>)-tetracosenoate,CPD-14268
YARROWIA,CPD-14268,C24H45O2,365.618,CCCCCCCC\C=C/CCCCCCCCCCCCCC(=O)[O-],(15<i>Z</i>)-tetracosenoate,CPD-14268
ECOLI,4-OXALOMESACONATE,C7H3O7,199.096,C(=O)([O-])/C=C(CC(C([O-])=O)=O)/C([O-])=O,"(1<i>E</i>)-4-oxobut-1-ene-1,2,4-tricarboxylate",4-OXALOMESACONATE
PPUT160488,4-OXALOMESACONATE,C7H3O7,199.096,C(=O)([O-])/C=C(CC(C([O-])=O)=O)/C([O-])=O,"(1<i>E</i>)-4-oxobut-1-ene-1,2,4-tricarboxylate",4-OXALOMESACONATE
GCF_000014565,3-HYDROXY-5917-TRIOXO-45910-DISECOA,C19H23O6,347.387,CC(/C(=O)CC[C@@H]1(C(=O)CC[C@]2(C)(C(=O)CC[C@@H]12)))=C\C=C(C(=O)[O-])/O,"(1<i>E</i>,2<i>Z</i>)-3-hydroxy-5,9,17-trioxo-4,5:9,10-disecoandrosta-1 (10),2-dien-4-oate",3-HYDROXY-5917-TRIOXO-45910-DISECOA
MTBH37RV,3-HYDROXY-5917-TRIOXO-45910-DISECOA,C19H23O6,347.387,CC(/C(=O)CC[C@@H]1(C(=O)CC[C@]2(C)(C(=O)CC[C@@H]12)))=C\C=C(C(=O)[O-])/O,"(1<i>E</i>,2<i>Z</i>)-3-hydroxy-5,9,17-trioxo-4,5:9,10-disecoandrosta-1 (10),2-dien-4-oate",3-HYDROXY-5917-TRIOXO-45910-DISECOA
ECOLI,CPD-12849,C7H3O7,199.096,C(/C(/C(=O)[O-])=C\C(=O)[O-])=C(C(=O)[O-])\O,"(1<i>E</i>,3<i>E</i>)-4-hydroxybuta-1,3-diene-1,2,4-tricarboxylate",CPD-12849
PPUT160488,CPD-12849,C7H3O7,199.096,C(/C(/C(=O)[O-])=C\C(=O)[O-])=C(C(=O)[O-])\O,"(1<i>E</i>,3<i>E</i>)-4-hydroxybuta-1,3-diene-1,2,4-tricarboxylate",CPD-12849
GCF_000014565,CPD-10856,C7H8O2Cl2,195.045,CC1(/[C@H](O)[C@H](O)C(/Cl)=C\C(\Cl)=1),"(1R,2S)-4,6-dichloro-3-methylcyclohexa-3,5-diene-1,2-diol",CPD-10856
ECOLI,CPD-288,C6H8O2,112.128,C1(\C=C/[C@H]([C@H](\C=1)O)O),"(1R,2S)-cyclohexa-3,5-diene-1,2-diol",CPD-288
YARROWIA,HOMO-I-CIT,C7H7O7,203.128,C(CC(=O)[O-])[C@H](C(=O)[O-])[C@@H](O)C(=O)[O-],"(1<i>R</i>,2<i>S</i>)-homoisocitrate",HOMO-I-CIT
YEAST,HOMO-I-CIT,C7H7O7,203.128,C(CC(=O)[O-])[C@H](C(=O)[O-])[C@@H](O)C(=O)[O-],"(1<i>R</i>,2<i>S</i>)-homoisocitrate",HOMO-I-CIT
ECOLI,CPD-9924,C14H13O9,325.251,C=C(C(=O)[O-])O[C@H]1(\C=C/[C@H](C(=O)CCC(=O)[O-])[C@H]([C@H](O)1)C(=O)[O-]),"(1R,2S,5S,6S)-2-succinyl-5-enolpyruvyl-6-hydroxycyclohex-3-ene-1-carboxylate",CPD-9924
ECOLI,CPD-26609,C14H13O9,325.251,C=C(C(=O)[O-])O[C@H]1(C/C=C([C@H]([C@H](O)1)C(=O)[O-])/C(=O)CCC(=O)[O-]),"(1R,5S,6S)-2-succinyl-5-enolpyruvyl-6-hydroxycyclohex-2-ene-1-carboxylate",CPD-26609
ECOLI,CPD-9923,C11H10O6,238.196,C1(\C=C([C@H]([C@H](O)\C=1)C(=O)[O-])\C(=O)CCC(=O)[O-]),"(1<i>R</i>,6<i>R</i>)-6-hydroxy-2-succinylcyclohexa-2,4-diene-1-carboxylate",CPD-9923
GCF_000014565,CPD-9923,C11H10O6,238.196,C1(\C=C([C@H]([C@H](O)\C=1)C(=O)[O-])\C(=O)CCC(=O)[O-]),"(1<i>R</i>,6<i>R</i>)-6-hydroxy-2-succinylcyclohexa-2,4-diene-1-carboxylate",CPD-9923
GCF_009937745,CPD-9923,C11H10O6,238.196,C1(\C=C([C@H]([C@H](O)\C=1)C(=O)[O-])\C(=O)CCC(=O)[O-]),"(1<i>R</i>,6<i>R</i>)-6-hydroxy-2-succinylcyclohexa-2,4-diene-1-carboxylate",CPD-9923
MED4,CPD-9923,C11H10O6,238.196,C1(\C=C([C@H]([C@H](O)\C=1)C(=O)[O-])\C(=O)CCC(=O)[O-]),"(1<i>R</i>,6<i>R</i>)-6-hydroxy-2-succinylcyclohexa-2,4-diene-1-carboxylate",CPD-9923
MTBH37RV,CPD-9923,C11H10O6,238.196,C1(\C=C([C@H]([C@H](O)\C=1)C(=O)[O-])\C(=O)CCC(=O)[O-]),"(1<i>R</i>,6<i>R</i>)-6-hydroxy-2-succinylcyclohexa-2,4-diene-1-carboxylate",CPD-9923
ECOLI,INDOLE-3-GLYCEROL-P,C11H12N1O6P1,285.193,C1(/NC2(/C=C\C=C/C(/C(/[C@@H]([C@@H](COP([O-])(=O)[O-])O)O)=1)=2)),"(1<i>S</i>,2<i>R</i>)-1-C-(indol-3-yl)glycerol 3-phosphate",INDOLE-3-GLYCEROL-P
GCF_000014565,INDOLE-3-GLYCEROL-P,C11H12N1O6P1,285.193,C1(/NC2(/C=C\C=C/C(/C(/[C@@H]([C@@H](COP([O-])(=O)[O-])O)O)=1)=2)),"(1<i>S</i>,2<i>R</i>)-1-C-(indol-3-yl)glycerol 3-phosphate",INDOLE-3-GLYCEROL-P
GCF_000046845,INDOLE-3-GLYCEROL-P,C11H12N1O6P1,285.193,C1(/NC2(/C=C\C=C/C(/C(/[C@@H]([C@@H](COP([O-])(=O)[O-])O)O)=1)=2)),"(1<i>S</i>,2<i>R</i>)-1-C-(indol-3-yl)glycerol 3-phosphate",INDOLE-3-GLYCEROL-P
GCF_009937745,INDOLE-3-GLYCEROL-P,C11H12N1O6P1,285.193,C1(/NC2(/C=C\C=C/C(/C(/[C@@H]([C@@H](COP([O-])(=O)[O-])O)O)=1)=2)),"(1<i>S</i>,2<i>R</i>)-1-C-(indol-3-yl)glycerol 3-phosphate",INDOLE-3-GLYCEROL-P
MED4,INDOLE-3-GLYCEROL-P,C11H12N1O6P1,285.193,C1(/NC2(/C=C\C=C/C(/C(/[C@@H]([C@@H](COP([O-])(=O)[O-])O)O)=1)=2)),"(1<i>S</i>,2<i>R</i>)-1-C-(indol-3-yl)glycerol 3-phosphate",INDOLE-3-GLYCEROL-P
MTBH37RV,INDOLE-3-GLYCEROL-P,C11H12N1O6P1,285.193,C1(/NC2(/C=C\C=C/C(/C(/[C@@H]([C@@H](COP([O-])(=O)[O-])O)O)=1)=2)),"(1<i>S</i>,2<i>R</i>)-1-C-(indol-3-yl)glycerol 3-phosphate",INDOLE-3-GLYCEROL-P
PPUT160488,INDOLE-3-GLYCEROL-P,C11H12N1O6P1,285.193,C1(/NC2(/C=C\C=C/C(/C(/[C@@H]([C@@H](COP([O-])(=O)[O-])O)O)=1)=2)),"(1<i>S</i>,2<i>R</i>)-1-C-(indol-3-yl)glycerol 3-phosphate",INDOLE-3-GLYCEROL-P
YARROWIA,INDOLE-3-GLYCEROL-P,C11H12N1O6P1,285.193,C1(/NC2(/C=C\C=C/C(/C(/[C@@H]([C@@H](COP([O-])(=O)[O-])O)O)=1)=2)),"(1<i>S</i>,2<i>R</i>)-1-C-(indol-3-yl)glycerol 3-phosphate",INDOLE-3-GLYCEROL-P
YEAST,INDOLE-3-GLYCEROL-P,C11H12N1O6P1,285.193,C1(/NC2(/C=C\C=C/C(/C(/[C@@H]([C@@H](COP([O-])(=O)[O-])O)O)=1)=2)),"(1<i>S</i>,2<i>R</i>)-1-C-(indol-3-yl)glycerol 3-phosphate",INDOLE-3-GLYCEROL-P
ECOLI,CIS-12-DIHYDRO-3-ETHYLCATECHOL,C8H12O2,140.182,CCC1(\[C@@H](O)[C@@H](O)\C=C/C=1),"(1S,2R)-3-ethylcyclohexa-3,5-diene-1,2-diol",CIS-12-DIHYDRO-3-ETHYLCATECHOL
ECOLI,TOLUENECISDHDIOL,C7H10O2,126.155,CC1(\[C@H]([C@H](\C=C/C=1)O)O),"(1S,2R)-3-methylcyclohexa-3,5-diene-1,2-diol",TOLUENECISDHDIOL
GCF_000014565,CPD-18740,C12H12O3,204.225,C2(\C=C/C(/OC1(\[C@@H](O)[C@@H](O)\C=C/C=1))=C\C=2),"(1S,2S)-3-phenoxycyclohexa-3,5-diene-1,2-diol",CPD-18740
ECOLI,SUCCINYL-OH-CYCLOHEXADIENE-COOH,C11H10O6,238.196,C1(\C=C([C@H](C(=O)[O-])[C@H](O)\C=1)\C(=O)CCC(=O)[O-]),"(1<i>S</i>,6<i>R</i>)-2-succinyl-6-hydroxy-2,4-cyclohexadiene-1-carboxylate",SUCCINYL-OH-CYCLOHEXADIENE-COOH
MED4,SUCCINYL-OH-CYCLOHEXADIENE-COOH,C11H10O6,238.196,C1(\C=C([C@H](C(=O)[O-])[C@H](O)\C=1)\C(=O)CCC(=O)[O-]),"(1<i>S</i>,6<i>R</i>)-2-succinyl-6-hydroxy-2,4-cyclohexadiene-1-carboxylate",SUCCINYL-OH-CYCLOHEXADIENE-COOH
ECOLI,CPD-185,C7H3O7,199.096,C(\C=C(\C=C(C([O-])=O)/O)/C([O-])=O)([O-])=O,"(1<i>Z</i>,3<i>Z</i>)-4-hydroxybuta-1,3-diene-1,2,4-tricarboxylate",CPD-185
PPUT160488,CPD-185,C7H3O7,199.096,C(\C=C(\C=C(C([O-])=O)/O)/C([O-])=O)([O-])=O,"(1<i>Z</i>,3<i>Z</i>)-4-hydroxybuta-1,3-diene-1,2,4-tricarboxylate",CPD-185
ECOLI,CPD-19243,C4H8N1O4P1,165.085,CC(=O)NCCP([O-])([O-])=O,(2-acetamidoethyl)phosphonate,CPD-19243
ECOLI,CPD-1106,C2H8N1O3P1,125.064,C(CP([O-])(O)=O)[NH3+],(2-aminoethyl)phosphonate,CPD-1106
GCF_000014565,CPD-1106,C2H8N1O3P1,125.064,C(CP([O-])(O)=O)[NH3+],(2-aminoethyl)phosphonate,CPD-1106
PPUT160488,CPD-1106,C2H8N1O3P1,125.064,C(CP([O-])(O)=O)[NH3+],(2-aminoethyl)phosphonate,CPD-1106
GCF_000014565,CPD-7737,C7H4O6,184.105,C(C[C@]1(OC(\C=C/1)=O)C([O-])=O)([O-])=O,"(2-carboxy-2,5-dihydro-5-oxofuran-2-yl)-acetate",CPD-7737
GCF_000046845,CPD-7737,C7H4O6,184.105,C(C[C@]1(OC(\C=C/1)=O)C([O-])=O)([O-])=O,"(2-carboxy-2,5-dihydro-5-oxofuran-2-yl)-acetate",CPD-7737
MTBH37RV,CPD-7737,C7H4O6,184.105,C(C[C@]1(OC(\C=C/1)=O)C([O-])=O)([O-])=O,"(2-carboxy-2,5-dihydro-5-oxofuran-2-yl)-acetate",CPD-7737
PPUT160488,CPD-7737,C7H4O6,184.105,C(C[C@]1(OC(\C=C/1)=O)C([O-])=O)([O-])=O,"(2-carboxy-2,5-dihydro-5-oxofuran-2-yl)-acetate",CPD-7737
MTBH37RV,CPD-19990,C8H10N2O2S1,198.239,CCC1(\C=C(\C=C/N=1)\C(S(O)=O)=N),(2-ethylpyridin-4-yl)(imino)methanesulfinate,CPD-19990
GCF_000014565,CPD-15555,C10H8N1O3,190.178,C([O-])(=O)CC1(/C2(\C=C/C=C\C(\NC(/O)=1)=2)),(2-hydroxy-1<i>H</i>-indol-3-yl)acetate,CPD-15555
GCF_000014565,CPD-11495,C8H7O3,151.141,C(=O)([O-])CC1(/C=C\C=C/C(/O)=1),(2-hydroxyphenyl)acetate,CPD-11495
PPUT160488,CPD-11495,C8H7O3,151.141,C(=O)([O-])CC1(/C=C\C=C/C(/O)=1),(2-hydroxyphenyl)acetate,CPD-11495
GCF_009937745,CPD-13174,C14H14O5,262.262,C(C1(O)(C(=O)CC\C=C/1))(OCC2(/C=C\C=C/C(/O)=2))=O,(2-hydroxyphenyl)methyl 1-hydroxy-6-oxocyclohex-2-ene-1-carboxylate,CPD-13174
MED4,CPD-13174,C14H14O5,262.262,C(C1(O)(C(=O)CC\C=C/1))(OCC2(/C=C\C=C/C(/O)=2))=O,(2-hydroxyphenyl)methyl 1-hydroxy-6-oxocyclohex-2-ene-1-carboxylate,CPD-13174
PPUT160488,CPD-13174,C14H14O5,262.262,C(C1(O)(C(=O)CC\C=C/1))(OCC2(/C=C\C=C/C(/O)=2))=O,(2-hydroxyphenyl)methyl 1-hydroxy-6-oxocyclohex-2-ene-1-carboxylate,CPD-13174
MTBH37RV,CPD-19068,C27H42O2,398.628,C[C@@H](C=O)CCC[C@@H](C)[C@H]3(CC[C@H]4([C@@H]2(CCC1(\[C@@](CCC(=O)\C=1)(C)[C@H]2CC[C@](C)34)))),(25R)-26-oxocholest-4-en-3-one,CPD-19068
PPUT160488,CPD-19068,C27H42O2,398.628,C[C@@H](C=O)CCC[C@@H](C)[C@H]3(CC[C@H]4([C@@H]2(CCC1(\[C@@](CCC(=O)\C=1)(C)[C@H]2CC[C@](C)34)))),(25R)-26-oxocholest-4-en-3-one,CPD-19068
GCF_000014565,CPD-13888,C27H42O2,398.628,C[C@H](C=O)CCC[C@@H](C)[C@H]3(CC[C@H]4([C@@H]2(CCC1(\[C@@](CCC(=O)\C=1)(C)[C@H]2CC[C@](C)34)))),(25S)-26-oxocholest-4-en-3-one,CPD-13888
MTBH37RV,CPD-13888,C27H42O2,398.628,C[C@H](C=O)CCC[C@@H](C)[C@H]3(CC[C@H]4([C@@H]2(CCC1(\[C@@](CCC(=O)\C=1)(C)[C@H]2CC[C@](C)34)))),(25S)-26-oxocholest-4-en-3-one,CPD-13888
PPUT160488,CPD-13888,C27H42O2,398.628,C[C@H](C=O)CCC[C@@H](C)[C@H]3(CC[C@H]4([C@@H]2(CCC1(\[C@@](CCC(=O)\C=1)(C)[C@H]2CC[C@](C)34)))),(25S)-26-oxocholest-4-en-3-one,CPD-13888
ECOLI,CPD-10208,C9H12O3,168.192,CCC/C=C1(C(=O)C(/O)=C(C)\O1),(2E)-2-butylidene-4-hydroxy-5-methyl-3(2H)-furanone,CPD-10208
GCF_009937745,CPD-10208,C9H12O3,168.192,CCC/C=C1(C(=O)C(/O)=C(C)\O1),(2E)-2-butylidene-4-hydroxy-5-methyl-3(2H)-furanone,CPD-10208
PPUT160488,CPD-10208,C9H12O3,168.192,CCC/C=C1(C(=O)C(/O)=C(C)\O1),(2E)-2-butylidene-4-hydroxy-5-methyl-3(2H)-furanone,CPD-10208
YEAST,CPD-10208,C9H12O3,168.192,CCC/C=C1(C(=O)C(/O)=C(C)\O1),(2E)-2-butylidene-4-hydroxy-5-methyl-3(2H)-furanone,CPD-10208
ECOLI,CPD-10206,C7H8O3,140.138,C/C=C1(C(=O)C(/O)=C(C)\O1),(2E)-2-ethylidene-4-hydroxy-5-methyl-3(2H)-furanone,CPD-10206
GCF_009937745,CPD-10206,C7H8O3,140.138,C/C=C1(C(=O)C(/O)=C(C)\O1),(2E)-2-ethylidene-4-hydroxy-5-methyl-3(2H)-furanone,CPD-10206
PPUT160488,CPD-10206,C7H8O3,140.138,C/C=C1(C(=O)C(/O)=C(C)\O1),(2E)-2-ethylidene-4-hydroxy-5-methyl-3(2H)-furanone,CPD-10206
YEAST,CPD-10206,C7H8O3,140.138,C/C=C1(C(=O)C(/O)=C(C)\O1),(2E)-2-ethylidene-4-hydroxy-5-methyl-3(2H)-furanone,CPD-10206
ECOLI,CPD-6761,C5H5O3,113.093,C=C/C=C(C([O-])=O)/O,"(2E)-2-hydroxypenta-2,4-dienoate",CPD-6761
GCF_000014565,CPD-6761,C5H5O3,113.093,C=C/C=C(C([O-])=O)/O,"(2E)-2-hydroxypenta-2,4-dienoate",CPD-6761
ECOLI,CPD-22373,C10H18S1,170.312,CC(C)=CCCC(\C)=C/CS,"(2E)-3,7-dimethylocta-2,6-diene-1-thiol",CPD-22373
GCF_000046845,CPD-22373,C10H18S1,170.312,CC(C)=CCCC(\C)=C/CS,"(2E)-3,7-dimethylocta-2,6-diene-1-thiol",CPD-22373
GCF_009937745,CPD-22373,C10H18S1,170.312,CC(C)=CCCC(\C)=C/CS,"(2E)-3,7-dimethylocta-2,6-diene-1-thiol",CPD-22373
MED4,CPD-22373,C10H18S1,170.312,CC(C)=CCCC(\C)=C/CS,"(2E)-3,7-dimethylocta-2,6-diene-1-thiol",CPD-22373
PPUT160488,CPD-22373,C10H18S1,170.312,CC(C)=CCCC(\C)=C/CS,"(2E)-3,7-dimethylocta-2,6-diene-1-thiol",CPD-22373
ECOLI,CPD-13034,C9H9O4,181.168,C(/C=C/C1(/[C@H](O)[C@H](O)\C=C/C=1))(=O)[O-],"(2<i>E</i>)-3-(5,6-dihydroxycyclohexa-1,3-dien-1-yl)prop-2-enoate",CPD-13034
GCF_000014565,CPD-13034,C9H9O4,181.168,C(/C=C/C1(/[C@H](O)[C@H](O)\C=C/C=1))(=O)[O-],"(2<i>E</i>)-3-(5,6-dihydroxycyclohexa-1,3-dien-1-yl)prop-2-enoate",CPD-13034
PPUT160488,CPD-10207,C8H10O3,154.165,CC/C=C1(C(=O)C(/O)=C(C)\O1),(2E)-4-hydroxy-5-methyl-2-propylidene-3(2H)-furanone,CPD-10207
PPUT160488,CPD-292,C16H30O1,238.412,CCCCCCCCCCCCC/C=C/C=O,(2E)-hexadecenal,CPD-292
YARROWIA,CPD-292,C16H30O1,238.412,CCCCCCCCCCCCC/C=C/C=O,(2E)-hexadecenal,CPD-292
PPUT160488,CPD-9768,C16H29O2,253.404,CCCCCCCCCCCCC/C=C/C(=O)[O-],(2<i>E</i>)-hexadecenoate,CPD-9768
YARROWIA,CPD-9768,C16H29O2,253.404,CCCCCCCCCCCCC/C=C/C(=O)[O-],(2E)-hexadecenoate,CPD-9768
GCF_000014565,CPD-12502,C12H10N1O4,232.215,C(=O)([O-])C(/O)=C\C=C/C(=O)C1(/C=C\C=C/C(/N)=1),"(2E,4E)-6-(2-aminophenyl)-2-hydroxy-6-oxohexa-2,4-dienoate",CPD-12502
MED4,CPD-12762,C10H12O2,164.204,CC(/C=C/C=C(C)/C=O)=C\C=O,"(2E,4E,6E)-2,6-dimethylocta-2,4,6-trienedial",CPD-12762
YEAST,2-TRANS6-TRANS-FARNESAL,C15H24O1,220.354,CC(C)=CCCC(\C)=C/CCC(\C)=C/C=O,"(2<i>E</i>,6<i>E</i>)-farnesal",2-TRANS6-TRANS-FARNESAL
MTBH37RV,2-TRANS6-TRANS-FARNESOL,C15H26O1,222.37,CC(C)=CCCC(\C)=C/CCC(\C)=C/CO,"(<i>2E,6E</i>)-farnesol",2-TRANS6-TRANS-FARNESOL
PPUT160488,2-TRANS6-TRANS-FARNESOL,C15H26O1,222.37,CC(C)=CCCC(\C)=C/CCC(\C)=C/CO,"(<i>2E,6E</i>)-farnesol",2-TRANS6-TRANS-FARNESOL
YEAST,2-TRANS6-TRANS-FARNESOL,C15H26O1,222.37,CC(C)=CCCC(\C)=C/CCC(\C)=C/CO,"(<i>2E,6E</i>)-farnesol",2-TRANS6-TRANS-FARNESOL
ECOLI,FARNESYL-PP,C15H25O7P2,379.306,CC(C)=CCCC(\C)=C/CCC(\C)=C/COP(OP([O-])(=O)[O-])(=O)[O-],"(2<i>E</i>,6<i>E</i>)-farnesyl diphosphate",FARNESYL-PP
GCF_000014565,FARNESYL-PP,C15H25O7P2,379.306,CC(C)=CCCC(\C)=C/CCC(\C)=C/COP(OP([O-])(=O)[O-])(=O)[O-],"(2<i>E</i>,6<i>E</i>)-farnesyl diphosphate",FARNESYL-PP
GCF_000046845,FARNESYL-PP,C15H25O7P2,379.306,CC(C)=CCCC(\C)=C/CCC(\C)=C/COP(OP([O-])(=O)[O-])(=O)[O-],"(2<i>E</i>,6<i>E</i>)-farnesyl diphosphate",FARNESYL-PP
